0010,1,180,20,9
0010,0,180,20,9
0010,0,180,20,9
0010,1,180,20,9
111,10,-0.100000001490116,-0.1,0,452
112,50,0.200000002980232,0.2,0,456
113,100,0.300000011920929,0.3,0,460
114,10,0.400000005960464,0.4,0,464
115,50,0.5,0.5,0,468
116,100,0.600000023841858,0.6,0,472
117,10,0.699999988079071,0.7,0,476
118,50,0.800000011920929,0.8,0,480
119,100,-1,-1,0,484
120,10,0.100000001490116,0.1,0,488
121,50,-0.899999976158142,-0.9,0,492
122,100,-0.699999988079071,-0.7,0,496
123,10,0.200000002980232,0.2,0,500
124,50,-0.600000023841858,-0.6,0,504
125,100,-0.300000011920929,-0.3,0,508
126,10,0.699999988079071,0.7,0,512
127,50,-0.400000005960464,-0.4,0,516
128,100,-0.200000002980232,-0.2,0,520
129,10,-0.100000001490116,-0.1,0,524
130,50,0,0,0,528
131,100,-0.5,-0.5,0,532
132,10,-0.800000011920929,-0.8,0,536
133,50,0.300000011920929,0.3,0,540
134,100,0.400000005960464,0.4,0,544
135,10,0.5,0.5,0,548
136,50,0.600000023841858,0.6,0,552
137,100,-1,-1,0,556
138,10,0.800000011920929,0.8,0,560
139,50,0.899999976158142,0.9,0,564
140,100,-0.800000011920929,-0.8,0,568
141,10,0.300000011920929,0.3,0,572
142,50,0.200000002980232,0.2,0,576
143,100,-0.699999988079071,-0.7,0,580
144,10,-1,-1,0,584
145,50,-0.5,-0.5,0,588
146,100,-0.200000002980232,-0.2,0,592
147,10,-0.300000011920929,-0.3,0,596
148,50,-0.100000001490116,-0.1,0,600
149,100,-0.600000023841858,-0.6,0,604
150,10,0,0,0,608
151,50,0.100000001490116,0,-0.1,608
152,100,-0.400000005960464,-0.4,0,612
153,10,-0.899999976158142,-0.9,0,616
154,50,0.400000005960464,0.4,0,620
155,100,0.5,0.5,0,624
156,10,0.600000023841858,0.6,0,628
157,50,0.699999988079071,0.7,0,632
158,100,0.800000011920929,0.8,0,636
159,10,0.899999976158142,0.9,0,640
160,50,-0.899999976158142,-0.9,0,644
161,100,-0.800000011920929,-0.8,0,648
162,10,-0.600000023841858,-0.6,0,652
163,50,-0.100000001490116,-0.1,0,656
164,100,-0.699999988079071,-0.7,0,660
165,10,0,0,0,664
166,50,-1,-1,0,668
167,100,-0.300000011920929,-0.3,0,672
168,10,-0.400000005960464,-0.4,0,676
169,50,0.400000005960464,0.4,0,680
170,100,-0.200000002980232,-0.2,0,684
171,10,0.100000001490116,0.1,0,688
172,50,0.200000002980232,0.2,0,692
173,100,0.300000011920929,0.3,0,696
174,10,-0.5,-0.5,0,700
175,50,0.5,0.5,0,704
176,100,0.600000023841858,0.6,0,708
177,10,0.699999988079071,0.7,0,712
178,50,0.800000011920929,0.8,0,716
179,100,0.899999976158142,0.9,0,720
